-6098	-10202	-2634	-970	-7161	-13663	9071	20909	-19974	28948	-8040	-21713	-2649	21375	-14911	4293	27666	
2292	-5420	-13151	10964	-5346	7907	-12210	-2234	-4097	5617	6138	9150	11345	-12018	-15138	-7715	-12486	
27493	-10680	-5132	1530	-9819	-6695	-2110	27522	12535	18885	3330	-8996	-8088	9473	-14095	13964	-1432	
16905	-12263	7283	5481	-1367	8411	-9381	10991	8863	9601	9700	-12283	2711	-13880	-3736	1322	-12381	
14426	7616	17251	-29743	-18558	-5799	14606	-10009	-9795	-5039	-21369	7535	10592	4360	20669	-7590	2997	
-13000	-13752	4555	-165	7713	-1190	-3371	-2176	-4438	8793	16236	-17412	4307	-1539	-13405	-9985	17297	
-24823	-9445	-6596	19853	19801	-4410	24164	-11425	11840	-6038	3268	-8684	-12493	14304	-2158	-13357	33943	
-19783	5668	-4828	-10438	-20912	-9949	1215	-8983	-18444	2423	-3567	7213	25055	-5144	-8356	-16272	6490	
-5529	-10105	-5372	-5838	18620	-15180	15921	-31111	16589	-1731	-9457	-10355	6888	2865	-7705	-18825	26363	
-3502	15518	22152	38141	14172	-49	17285	-14038	-12127	25209	-13293	-11452	19223	-3288	-17921	-12895	35956	
11893	103	11955	5979	9171	24509	1574	11894	16499	7318	-18005	8121	-16604	5304	2670	6399	-665	
-20465	-13731	-9662	-7831	-16155	14819	15251	17989	-4964	9291	1232	10334	31070	-1125	-31030	-10343	-13641	
14739	-13525	5048	-19051	-18078	-8321	-15720	13918	18641	-7514	14725	11686	-12638	-983	3569	8953	2643	
2040	-2568	-8301	22434	11895	2925	16926	-13191	6657	-5991	1774	-10078	-10751	9583	1897	-16746	1703	
5519	17806	15665	22662	38690	3250	14120	-46634	17935	2052	-26727	-8103	-6946	1553	23385	-4020	40769	
18716	-27296	-364	-18458	-7817	172	-12147	24963	17429	719	11406	5883	-10376	16628	2934	10612	1607	
-11836	-8600	-3370	-11216	851	-17697	12970	-6478	-4411	15099	-12798	-14663	16265	-17782	-23430	-6093	6103	
-6098	-10202	-2634	-970	-7161	-13663	9071	20909	-19974	28948	-8040	-21713	-2649	21375	-14911	4293	27666	
2292	-5420	-13151	10964	-5346	7907	-12210	-2234	-4097	5617	6138	9150	11345	-12018	-15138	-7715	-12486	
27493	-10680	-5132	1530	-9819	-6695	-2110	27522	12535	18885	3330	-8996	-8088	9473	-14095	13964	-1432	
16905	-12263	7283	5481	-1367	8411	-9381	10991	8863	9601	9700	-12283	2711	-13880	-3736	1322	-12381	
14426	7616	17251	-29743	-18558	-5799	14606	-10009	-9795	-5039	-21369	7535	10592	4360	20669	-7590	2997	
-13000	-13752	4555	-165	7713	-1190	-3371	-2176	-4438	8793	16236	-17412	4307	-1539	-13405	-9985	17297	
-24823	-9445	-6596	19853	19801	-4410	24164	-11425	11840	-6038	3268	-8684	-12493	14304	-2158	-13357	33943	
-19783	5668	-4828	-10438	-20912	-9949	1215	-8983	-18444	2423	-3567	7213	25055	-5144	-8356	-16272	6490	
-5529	-10105	-5372	-5838	18620	-15180	15921	-31111	16589	-1731	-9457	-10355	6888	2865	-7705	-18825	26363	
-3502	15518	22152	38141	14172	-49	17285	-14038	-12127	25209	-13293	-11452	19223	-3288	-17921	-12895	35956	
11893	103	11955	5979	9171	24509	1574	11894	16499	7318	-18005	8121	-16604	5304	2670	6399	-665	
-20465	-13731	-9662	-7831	-16155	14819	15251	17989	-4964	9291	1232	10334	31070	-1125	-31030	-10343	-13641	
14739	-13525	5048	-19051	-18078	-8321	-15720	13918	18641	-7514	14725	11686	-12638	-983	3569	8953	2643	
2040	-2568	-8301	22434	11895	2925	16926	-13191	6657	-5991	1774	-10078	-10751	9583	1897	-16746	1703	
5519	17806	15665	22662	38690	3250	14120	-46634	17935	2052	-26727	-8103	-6946	1553	23385	-4020	40769	
18716	-27296	-364	-18458	-7817	172	-12147	24963	17429	719	11406	5883	-10376	16628	2934	10612	1607	
-11836	-8600	-3370	-11216	851	-17697	12970	-6478	-4411	15099	-12798	-14663	16265	-17782	-23430	-6093	6103	
